Date,Machine,SKUCode,StartTime,EndTime,Qty,factor,Actual_Qty
2026-04-07,3609,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3609,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3609,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3610,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3610,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3610,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3611,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3611,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3611,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3612,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3612,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3612,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3613,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3613,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3613,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3614,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3614,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3614,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3615,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3615,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3615,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,3616,1D25214012008QXPCT,2026-04-07 07:00:00,2026-04-07 15:00:00,44,-0.03388502063735834,43
2026-04-07,3616,1D25214012008QXPCT,2026-04-07 15:00:00,2026-04-07 23:00:00,44,-0.03388502063735834,43
2026-04-07,3616,1D25214012008QXPCT,2026-04-07 23:00:00,2026-04-08 07:00:00,44,-0.03388502063735834,43
2026-04-07,4501,1D25215013008SXC10,2026-04-07 07:00:00,2026-04-07 15:00:00,51,-0.04738112106766742,49
2026-04-07,4501,1D25215013008SXC10,2026-04-07 15:00:00,2026-04-07 23:00:00,51,-0.04738112106766742,49
2026-04-07,4501,1D25215013008SXC10,2026-04-07 23:00:00,2026-04-08 07:00:00,51,-0.04738112106766742,49
2026-04-07,4502,1325215813079TUNE3,2026-04-07 07:00:00,2026-04-07 10:02:00,26,-0.019276197778646732,25
